lPlayer,rPlayer,lScore,rScore,lGames,rGames,datetime,id
Merezhko A.,Melkov O.,-,-,[],[],21.11. 20:30,W0bH7TM5
Merezhko A.,Melkov O.,-,-,[],[],21.11. 20:30,2imMHS23
Merezhko A.,Melkov O.,1,3,"['11', '6', '5', '6']","['6', '11', '11', '11']",21.11. 20:40,82ywEArn
Kim S. I.,Staroverov V.,-,-,[],[],21.11. 20:45,dEnQGnI9
Kim S. I.,Staroverov V.,-,-,[],[],21.11. 20:45,SSiQ57iI
Kim S. I.,Staroverov V.,2,3,"['4', '13', '11', '11', '9']","['11', '15', '5', '9', '11']",21.11. 20:45,jRQsDUch
Skotnikov S.,Matveyev I.,-,-,[],[],21.11. 20:45,AHjUF6XF
Skotnikov S.,Matveyev I.,0,3,"['14', '4', '7']","['16', '11', '11']",21.11. 20:45,4UUoClDb
Skotnikov S.,Matveyev I.,-,-,[],[],21.11. 20:45,I9Ydmayi
Sergeevich I.,Kolmin A.,-,-,[],[],21.11. 21:00,jF4bbv2r
Sergeevich I.,Kolmin A.,-,-,[],[],21.11. 21:00,0YcseBfc
Sergeevich I.,Kolmin A.,2,3,"['4', '11', '11', '6', '5']","['11', '9', '8', '11', '11']",21.11. 21:00,biUkB8S4
Doncenko A.,Shmakov A.,-,-,[],[],21.11. 21:15,U72ofV93
Doncenko A.,Shmakov A.,3,2,"['11', '8', '11', '9', '11']","['8', '11', '6', '11', '9']",21.11. 21:15,U532cbHl
Doncenko A.,Shmakov A.,-,-,[],[],21.11. 21:15,xrTgASsB
Nikiforov O.,Poletaev I.,-,-,[],[],21.11. 21:15,jNjfh9vG
Nikiforov O.,Poletaev I.,0,3,"['8', '2', '9']","['11', '11', '11']",21.11. 21:15,bu86dIWf
Nikiforov O.,Poletaev I.,-,-,[],[],21.11. 21:15,Igpi9ncH
Suslov A.,Ekzhanov A.,1,3,"['11', '9', '7', '10']","['9', '11', '11', '12']",21.11. 22:45,jokKk10R
Bazhinov Y.,Kurilchik N.,3,2,"['11', '11', '9', '10', '11']","['9', '3', '11', '12', '6']",21.11. 22:45,hfynoL8r
Shishko Y.,Lobanov A.,2,3,"['11', '9', '9', '11', '9']","['5', '11', '11', '9', '11']",21.11. 22:45,MTujpuOl
Skrebnev A.,Kutuzov O.,1,3,"['7', '14', '6', '8']","['11', '12', '11', '11']",21.11. 23:15,0Kvfqawe
Buyanin I.,Slachshilin A.,1,3,"['5', '9', '11', '3']","['11', '11', '6', '11']",21.11. 23:25,rqUbrJh1
Ilyukhin E.,Frolov A. G.,-,-,[],[],21.11. 23:15,dpqe86CN
Ilyukhin E.,Frolov A. G.,-,-,[],[],21.11. 23:15,bmf2jm9S
Ilyukhin E.,Frolov A. G.,1,3,"['11', '4', '5', '4']","['8', '11', '11', '11']",21.11. 23:20,xW6Aexn1
Ekzhanov A.,Skrebnev A.,-,-,[],[],21.11. 23:30,t8cRpRWk
Ekzhanov A.,Skrebnev A.,-,-,[],[],21.11. 23:30,j7ra7QRT
Ekzhanov A.,Skrebnev A.,3,1,"['11', '7', '12', '11']","['3', '11', '10', '5']",21.11. 23:45,KfdFfd17
Kurilchik N.,Buyanin I.,3,0,"['11', '11', '11']","['4', '8', '7']",21.11. 23:55,SSZQ2pzo
Kurilchik N.,Buyanin I.,-,-,[],[],21.11. 23:45,Y1pD8UOd
Kurilchik N.,Buyanin I.,-,-,[],[],21.11. 23:45,WUaJgGGD
Lobanov A.,Ilyukhin E.,-,-,[],[],21.11. 23:45,UTwM68g9
Lobanov A.,Ilyukhin E.,0,3,"['4', '9', '10']","['11', '11', '12']",21.11. 23:45,UXD9RTCo
Lobanov A.,Ilyukhin E.,-,-,[],[],21.11. 23:45,pYm1IagE
Kutuzov O.,Suslov A.,3,0,"['11', '14', '11']","['4', '12', '7']",22.11. 00:05,OOn5HJ8K
Kutuzov O.,Suslov A.,-,-,[],[],22.11. 00:00,xfsU4nOL
Kutuzov O.,Suslov A.,-,-,[],[],22.11. 00:00,8OCDQmSi
Frolov A. G.,Shishko Y.,1,3,"['6', '5', '11', '10']","['11', '11', '3', '12']",22.11. 00:15,xbHHP7sb
Frolov A. G.,Shishko Y.,-,-,[],[],22.11. 00:15,MRI0aQoq
Frolov A. G.,Shishko Y.,-,-,[],[],22.11. 00:15,t0sAGwOQ
Slachshilin A.,Bazhinov Y.,0,3,"['8', '6', '8']","['11', '11', '11']",22.11. 00:15,GlGLORd4
Slachshilin A.,Bazhinov Y.,-,-,[],[],22.11. 00:15,SOL8c4Ge
Slachshilin A.,Bazhinov Y.,-,-,[],[],22.11. 00:15,r9TyCcWs
Suslov A.,Skrebnev A.,-,-,[],[],22.11. 00:30,bD5QNoCA
Suslov A.,Skrebnev A.,-,-,[],[],22.11. 00:30,6FKCdOV1
Suslov A.,Skrebnev A.,3,1,"['13', '12', '9', '13']","['11', '10', '11', '11']",22.11. 00:30,xWSuBHol
Bazhinov Y.,Buyanin I.,2,3,"['5', '12', '5', '13', '6']","['11', '10', '11', '11', '11']",22.11. 00:50,dbOTM5RG
Bazhinov Y.,Buyanin I.,-,-,[],[],22.11. 00:45,rX3eL782
Bazhinov Y.,Buyanin I.,-,-,[],[],22.11. 00:45,jZWqAy1f
Shishko Y.,Ilyukhin E.,1,3,"['9', '6', '12', '6']","['11', '11', '10', '11']",22.11. 00:45,jLNXLPtN
Shishko Y.,Ilyukhin E.,-,-,[],[],22.11. 00:45,MN2aKRN8
Shishko Y.,Ilyukhin E.,-,-,[],[],22.11. 00:45,YcMl9eG0
Ekzhanov A.,Kutuzov O.,-,-,[],[],22.11. 01:00,Gp23JowF
Ekzhanov A.,Kutuzov O.,-,-,[],[],22.11. 01:00,UBMyLqdT
Ekzhanov A.,Kutuzov O.,1,3,"['11', '8', '1', '8']","['8', '11', '11', '11']",22.11. 01:00,ClLh8FV6
Kurilchik N.,Slachshilin A.,-,-,[],[],22.11. 01:15,Um67I5hL
Kurilchik N.,Slachshilin A.,1,3,"['9', '11', '6', '8']","['11', '7', '11', '11']",22.11. 01:25,A544G34p
Kurilchik N.,Slachshilin A.,-,-,[],[],22.11. 01:15,KEKd7ZpD
Lobanov A.,Frolov A. G.,-,-,[],[],22.11. 01:15,b5J06g0J
Lobanov A.,Frolov A. G.,-,-,[],[],22.11. 01:15,CCeCHP7R
Lobanov A.,Frolov A. G.,0,3,"['11', '5', '7']","['13', '11', '11']",22.11. 01:15,ld38FNJj
Yakovlev A.,Gusev M.,3,2,"['9', '11', '4', '11', '11']","['11', '7', '11', '5', '8']",22.11. 02:30,fJX2sw87
Innazarov A.,Pinkovskii P.,1,3,"['9', '11', '11', '6']","['11', '13', '9', '11']",22.11. 03:00,8MLp6Mp8
Panevin S.,Tsvetkov A.,2,3,"['11', '8', '11', '12', '9']","['9', '11', '9', '14', '11']",22.11. 02:55,nDKl5t0E
Tikhnenko D.,Alekseev A.,3,0,"['11', '11', '11']","['7', '7', '9']",22.11. 03:00,2NwJmEUt
Golovachev E.,Poletaev I.,-,-,[],[],22.11. 03:15,2aijv7di
Golovachev E.,Poletaev I.,-,-,[],[],22.11. 03:15,ELsvDqGr
Golovachev E.,Poletaev I.,2,3,"['9', '11', '9', '11', '10']","['11', '9', '11', '6', '12']",22.11. 03:30,2wpsFo4J
Kaplan S.,Korolev S.,3,1,"['7', '11', '11', '11']","['11', '8', '5', '3']",22.11. 03:25,tExNnYqm
Gusev M.,Tikhnenko D.,-,-,[],[],22.11. 03:30,8ddsC3Vl
Gusev M.,Tikhnenko D.,2,3,"['13', '7', '8', '11', '9']","['11', '11', '11', '8', '11']",22.11. 03:30,GtloE5JP
Gusev M.,Tikhnenko D.,-,-,[],[],22.11. 03:30,G2efwRBc
Pinkovskii P.,Kaplan S.,-,-,[],[],22.11. 03:45,YLzD9PRt
Pinkovskii P.,Kaplan S.,3,0,"['11', '11', '11']","['9', '6', '9']",22.11. 03:50,bRpaxoR3
Pinkovskii P.,Kaplan S.,-,-,[],[],22.11. 03:45,nmeoBNpe
Tsvetkov A.,Golovachev E.,-,-,[],[],22.11. 03:45,UBpjAs01
Tsvetkov A.,Golovachev E.,-,-,[],[],22.11. 03:45,CCZG8qsm
Tsvetkov A.,Golovachev E.,1,3,"['9', '4', '11', '11']","['11', '11', '5', '13']",22.11. 04:00,xIq3y5tA
Alekseev A.,Yakovlev A.,-,-,[],[],22.11. 04:00,rFlf91F7
Alekseev A.,Yakovlev A.,-,-,[],[],22.11. 04:00,prq7zPeG
Alekseev A.,Yakovlev A.,2,3,"['8', '9', '11', '13', '9']","['11', '11', '6', '11', '11']",22.11. 04:05,UmUL73dg
Korolev S.,Innazarov A.,2,3,"['11', '11', '8', '5', '10']","['7', '9', '11', '11', '12']",22.11. 04:20,8vTP6NBa
Korolev S.,Innazarov A.,-,-,[],[],22.11. 04:15,dIxxYph8
Korolev S.,Innazarov A.,-,-,[],[],22.11. 04:15,M76zJdQr
Poletaev I.,Panevin S.,-,-,[],[],22.11. 04:15,4WeuIGuk
Poletaev I.,Panevin S.,-,-,[],[],22.11. 04:15,z9ytX47E
Poletaev I.,Panevin S.,3,0,"['11', '11', '12']","['9', '8', '10']",22.11. 04:15,21ST5sR5
Yakovlev A.,Tikhnenko D.,-,-,[],[],22.11. 04:30,hpWpWOMK
Yakovlev A.,Tikhnenko D.,3,2,"['12', '11', '1', '4', '11']","['10', '9', '11', '11', '5']",22.11. 04:35,0noX41tC
Yakovlev A.,Tikhnenko D.,-,-,[],[],22.11. 04:30,IZaqHzee
Innazarov A.,Kaplan S.,-,-,[],[],22.11. 04:45,CdamGfA1
Innazarov A.,Kaplan S.,-,-,[],[],22.11. 04:45,WzVlVrxR
Innazarov A.,Kaplan S.,3,2,"['11', '14', '11', '9', '11']","['6', '16', '8', '11', '9']",22.11. 04:45,rBzx4LeI
Panevin S.,Golovachev E.,3,0,"['11', '11', '11']","['6', '5', '9']",22.11. 04:45,M1Zu3uBO
Panevin S.,Golovachev E.,-,-,[],[],22.11. 04:45,lGHGQ2pr
Panevin S.,Golovachev E.,-,-,[],[],22.11. 04:45,jmbiFEP7
Gusev M.,Alekseev A.,-,-,[],[],22.11. 05:00,0jLKPMal
Gusev M.,Alekseev A.,-,-,[],[],22.11. 05:00,S4szvb28
Gusev M.,Alekseev A.,0,3,"['2', '8', '10']","['11', '11', '12']",22.11. 05:00,AHSNROmP
Pinkovskii P.,Korolev S.,3,0,"['11', '11', '11']","['8', '6', '6']",22.11. 05:20,CQEkNrdt
Pinkovskii P.,Korolev S.,-,-,[],[],22.11. 05:15,6etvwIHE
Pinkovskii P.,Korolev S.,-,-,[],[],22.11. 05:15,rFAPOtFf
Tsvetkov A.,Poletaev I.,-,-,[],[],22.11. 05:15,M59TN0U0
Tsvetkov A.,Poletaev I.,-,-,[],[],22.11. 05:15,0IurxxXK
Tsvetkov A.,Poletaev I.,2,3,"['11', '10', '7', '11', '8']","['4', '12', '11', '5', '11']",22.11. 05:15,fk4fM2Bn
Bychkov S.,Chernov V.,2,3,"['11', '4', '11', '11', '4']","['8', '11', '13', '2', '11']",22.11. 06:30,zyxRohag
Ilin A.,Korneev D.,-,-,[],[],22.11. 06:45,juEXMKq7
Ilin A.,Korneev D.,-,-,[],[],22.11. 06:45,ChqnydnR
Ilin A.,Korneev D.,1,3,"['11', '8', '10', '10']","['6', '11', '12', '12']",22.11. 06:45,8h8bLMQh
Klavdenkov A.,Grebenyuk B.,0,3,"['9', '10', '3']","['11', '12', '11']",22.11. 06:45,lvtVpCEa
Shirshov V.,Menshikov A.,2,3,"['11', '8', '11', '7', '7']","['7', '11', '8', '11', '11']",22.11. 07:00,W2VZqWT5
Kryuchkov E.,Gribkov A.,1,3,"['6', '11', '10', '9']","['11', '8', '12', '11']",22.11. 07:15,AgUwqjqC
Sidorin V.,Churin K.,2,3,"['11', '11', '11', '8', '13']","['7', '7', '13', '11', '15']",22.11. 07:15,2F72Ktta
Sidorin V.,Churin K.,-,-,[],[],22.11. 07:15,UVCyMvaD
Sidorin V.,Churin K.,-,-,[],[],22.11. 07:15,IZLEWFfr
Chernov V.,Shirshov V.,3,2,"['11', '8', '11', '6', '11']","['7', '11', '8', '11', '5']",22.11. 07:30,t666J0e5
Chernov V.,Shirshov V.,-,-,[],[],22.11. 07:30,WziKpOyE
Chernov V.,Shirshov V.,-,-,[],[],22.11. 07:30,dQKIVZ9l
Grebenyuk B.,Kryuchkov E.,-,-,[],[],22.11. 07:45,QaPMUgPf
Grebenyuk B.,Kryuchkov E.,1,3,"['11', '8', '8', '7']","['5', '11', '11', '11']",22.11. 07:45,MHN3IKAB
Grebenyuk B.,Kryuchkov E.,-,-,[],[],22.11. 07:45,rDJmTe6t
Korneev D.,Sidorin V.,-,-,[],[],22.11. 07:45,4jOQTDv1
Korneev D.,Sidorin V.,3,0,"['11', '11', '11']","['7', '7', '9']",22.11. 07:45,08M7HvQH
Korneev D.,Sidorin V.,-,-,[],[],22.11. 07:45,xzJiSFLn
Menshikov A.,Bychkov S.,-,-,[],[],22.11. 08:00,GQHeRZzg
Menshikov A.,Bychkov S.,-,-,[],[],22.11. 08:00,nFDVSXg7
Menshikov A.,Bychkov S.,0,3,"['9', '5', '9']","['11', '11', '11']",22.11. 08:05,fVLBGbuO
Churin K.,Ilin A.,3,1,"['11', '13', '5', '11']","['7', '11', '11', '5']",22.11. 08:15,4UrsrAbI
Gribkov A.,Klavdenkov A.,-,-,[],[],22.11. 08:15,dxZhQgja
Gribkov A.,Klavdenkov A.,-,-,[],[],22.11. 08:15,0IHZRi9D
Gribkov A.,Klavdenkov A.,1,3,"['11', '11', '7', '5']","['1', '13', '11', '11']",22.11. 08:15,8YPFFIfU
Bychkov S.,Shirshov V.,3,2,"['7', '11', '12', '8', '12']","['11', '7', '10', '11', '10']",22.11. 08:30,YeiMz2Qu
Bychkov S.,Shirshov V.,-,-,[],[],22.11. 08:30,EL5HjynE
Bychkov S.,Shirshov V.,-,-,[],[],22.11. 08:30,zTXdPD55
Ilin A.,Sidorin V.,3,0,"['12', '15', '11']","['10', '13', '7']",22.11. 08:45,CnjQZLun
Ilin A.,Sidorin V.,-,-,[],[],22.11. 08:45,UkX0OXKB
Ilin A.,Sidorin V.,-,-,[],[],22.11. 08:45,hC4Lke1K
Klavdenkov A.,Kryuchkov E.,-,-,[],[],22.11. 08:45,KYzIlFGQ
Klavdenkov A.,Kryuchkov E.,-,-,[],[],22.11. 08:45,rgy5NizI
Klavdenkov A.,Kryuchkov E.,3,1,"['7', '11', '11', '11']","['11', '6', '7', '8']",22.11. 08:45,tMfUYueh
Chernov V.,Menshikov A.,0,3,"['10', '9', '6']","['12', '11', '11']",22.11. 09:00,KCgYXaAb
Chernov V.,Menshikov A.,-,-,[],[],22.11. 09:00,QHQ9MBkO
Chernov V.,Menshikov A.,-,-,[],[],22.11. 09:00,MsNqpZOs
Grebenyuk B.,Gribkov A.,-,-,[],[],22.11. 09:15,48PDLV4U
Grebenyuk B.,Gribkov A.,-,-,[],[],22.11. 09:15,G4Mmqgvl
Grebenyuk B.,Gribkov A.,3,0,"['11', '11', '11']","['6', '6', '7']",22.11. 09:15,2yqwXJP4
Korneev D.,Churin K.,-,-,[],[],22.11. 09:15,U7QirDgf
Korneev D.,Churin K.,-,-,[],[],22.11. 09:15,Gt6JtFzt
Korneev D.,Churin K.,3,1,"['11', '7', '11', '12']","['9', '11', '5', '10']",22.11. 09:15,EBnsWwuB
Ziuzikov P.,Zhurba N.,3,0,"['11', '11', '11']","['9', '4', '6']",22.11. 10:30,rLsosUDO
Uezdin A.,Tarasenkov N.,3,1,"['11', '9', '11', '12']","['5', '11', '5', '10']",22.11. 10:50,pQLT5DjP
Volkov A.,Eroshov F.,1,3,"['11', '9', '3', '8']","['8', '11', '11', '11']",22.11. 10:45,MoDe1Xbt
Myagkov S.,Serebrennikov A.,0,3,"['7', '11', '7']","['11', '13', '11']",22.11. 11:00,G8Ca0iEn
Churin K.,Nemashkalo V.,-,-,[],[],22.11. 11:15,fX4NuZkn
Churin K.,Nemashkalo V.,3,1,"['11', '12', '7', '11']","['6', '10', '11', '6']",22.11. 11:15,8YooVcfH
Churin K.,Nemashkalo V.,-,-,[],[],22.11. 11:15,CWFdsX80
Petrochenko D.,Ivanov Vi.,3,2,"['11', '11', '11', '8', '11']","['5', '13', '8', '11', '5']",22.11. 11:15,faB3aBTh
Zhurba N.,Pavlenko R.,-,-,[],[],22.11. 11:30,xdfSvg5h
Zhurba N.,Pavlenko R.,1,3,"['11', '8', '6', '6']","['8', '11', '11', '11']",22.11. 11:30,pb9EDVOq
Zhurba N.,Pavlenko R.,-,-,[],[],22.11. 11:30,jNE0tiO6
Eroshov F.,Lyfenko N.,-,-,[],[],22.11. 11:45,zsDVwDKb
Eroshov F.,Lyfenko N.,3,1,"['4', '11', '11', '11']","['11', '4', '3', '4']",22.11. 11:55,2Z3JCkvj
Eroshov F.,Lyfenko N.,-,-,[],[],22.11. 11:45,KdJ4uBwD
Tarasenkov N.,Suntsov A.,-,-,[],[],22.11. 11:45,U3CZxXZ4
Tarasenkov N.,Suntsov A.,2,3,"['11', '11', '8', '5', '3']","['9', '9', '11', '11', '11']",22.11. 11:45,tQ2NB9gd
Tarasenkov N.,Suntsov A.,-,-,[],[],22.11. 11:45,bmI8vVhJ
Ziuzikov P.,Myagkov S.,-,-,[],[],22.11. 12:00,8fBwxikB
Ziuzikov P.,Myagkov S.,-,-,[],[],22.11. 12:00,0hdi3EVJ
Ziuzikov P.,Myagkov S.,2,3,"['11', '9', '7', '11', '9']","['4', '11', '11', '7', '11']",22.11. 12:00,fTj5zgWd
Uezdin A.,Churin K.,-,-,[],[],22.11. 12:15,CSae2YpQ
Uezdin A.,Churin K.,3,0,"['11', '11', '11']","['8', '7', '9']",22.11. 12:20,8Wf9ZCo3
Uezdin A.,Churin K.,-,-,[],[],22.11. 12:15,QV5ryB4H
Volkov A.,Petrochenko D.,3,1,"['11', '3', '11', '11']","['8', '11', '7', '4']",22.11. 12:20,jepEYW09
Volkov A.,Petrochenko D.,-,-,[],[],22.11. 12:15,4M4nzVJN
Volkov A.,Petrochenko D.,-,-,[],[],22.11. 12:15,U7nNchgs
Pavlenko R.,Serebrennikov A.,-,-,[],[],22.11. 12:30,QZuWeWNg
Pavlenko R.,Serebrennikov A.,3,2,"['11', '9', '12', '10', '13']","['9', '11', '10', '12', '11']",22.11. 12:35,UoqIXjGF
Pavlenko R.,Serebrennikov A.,-,-,[],[],22.11. 12:30,bq4jZlZT
Lyfenko N.,Ivanov Vi.,-,-,[],[],22.11. 12:45,bmvvfAh6
Lyfenko N.,Ivanov Vi.,3,0,"['11', '11', '11']","['7', '8', '6']",22.11. 12:50,OMcLWAVL
Lyfenko N.,Ivanov Vi.,-,-,[],[],22.11. 12:45,z5eIU8so
Suntsov A.,Nemashkalo V.,3,0,"['11', '11', '11']","['8', '4', '9']",22.11. 12:45,Cz68bVra
Zhurba N.,Myagkov S.,3,1,"['11', '10', '11', '11']","['7', '12', '2', '7']",22.11. 13:20,2DdPVUpS
Zhurba N.,Myagkov S.,-,-,[],[],22.11. 13:00,fFXnhlNI
Zhurba N.,Myagkov S.,-,-,[],[],22.11. 13:00,xAZ0ghKo
Eroshov F.,Petrochenko D.,-,-,[],[],22.11. 13:15,0CKYFiFP
Eroshov F.,Petrochenko D.,-,-,[],[],22.11. 13:15,G0Y4hCZi
Eroshov F.,Petrochenko D.,3,0,"['11', '11', '11']","['7', '9', '9']",22.11. 13:15,8fZiRlgq
Tarasenkov N.,Churin K.,-,-,[],[],22.11. 13:15,ppd5AVxm
Tarasenkov N.,Churin K.,3,2,"['6', '7', '11', '11', '11']","['11', '11', '9', '8', '9']",22.11. 13:15,McwdQ88k
Tarasenkov N.,Churin K.,-,-,[],[],22.11. 13:15,OQX8iWlb
Serebrennikov A.,Ziuzikov P.,-,-,[],[],22.11. 13:30,2HWCjj44
Serebrennikov A.,Ziuzikov P.,-,-,[],[],22.11. 13:30,hAaD897a
Serebrennikov A.,Ziuzikov P.,1,3,"['9', '11', '8', '11']","['11', '6', '11', '13']",22.11. 13:35,GKx0PSNe
Ivanov Vi.,Volkov A.,-,-,[],[],22.11. 13:45,fBy4Onw2
Ivanov Vi.,Volkov A.,-,-,[],[],22.11. 13:45,ptMHkAJA
Ivanov Vi.,Volkov A.,3,0,"['11', '13', '11']","['9', '11', '8']",22.11. 13:45,lxgM6mxC
Nemashkalo V.,Uezdin A.,0,3,"['11', '7', '9']","['13', '11', '11']",22.11. 13:55,KOFgluMp
Nemashkalo V.,Uezdin A.,-,-,[],[],22.11. 13:45,WSKnmWF2
Nemashkalo V.,Uezdin A.,-,-,[],[],22.11. 13:45,bqQLlUYG
Myagkov S.,Pavlenko R.,1,3,"['10', '11', '6', '9']","['12', '7', '11', '11']",22.11. 14:10,AJJjnjV8
Myagkov S.,Pavlenko R.,-,-,[],[],22.11. 14:00,h6PPmllN
Myagkov S.,Pavlenko R.,-,-,[],[],22.11. 14:00,Msawdiui
Churin K.,Suntsov A.,-,-,[],[],22.11. 14:15,WdOTn83T
Churin K.,Suntsov A.,3,0,"['11', '11', '11']","['6', '5', '7']",22.11. 14:20,4tJfoApF
Churin K.,Suntsov A.,-,-,[],[],22.11. 14:15,8b1kgkP9
Petrochenko D.,Lyfenko N.,-,-,[],[],22.11. 14:15,Cj6drSBp
Petrochenko D.,Lyfenko N.,3,2,"['14', '7', '11', '12', '11']","['16', '11', '8', '10', '7']",22.11. 14:15,GGMbpUaL
Petrochenko D.,Lyfenko N.,-,-,[],[],22.11. 14:15,4QfbiTgM
Serebrennikov A.,Zhurba N.,-,-,[],[],22.11. 14:30,0dtUo7Hq
Serebrennikov A.,Zhurba N.,3,1,"['11', '6', '11', '11']","['9', '11', '7', '9']",22.11. 14:40,buC3qlFR
Serebrennikov A.,Zhurba N.,-,-,[],[],22.11. 14:30,js50snRj
Ivanov Vi.,Eroshov F.,-,-,[],[],22.11. 14:45,KbdVqond
Ivanov Vi.,Eroshov F.,1,3,"['8', '11', '9', '7']","['11', '9', '11', '11']",22.11. 14:45,0lbVv8Nr
Ivanov Vi.,Eroshov F.,-,-,[],[],22.11. 14:45,4pgr6V3i
Nemashkalo V.,Tarasenkov N.,-,-,[],[],22.11. 14:45,n5lH7lv3
Nemashkalo V.,Tarasenkov N.,-,-,[],[],22.11. 14:45,GKdn5kJc
Nemashkalo V.,Tarasenkov N.,0,3,"['9', '7', '7']","['11', '11', '11']",22.11. 14:45,UN2ZwSxk
Pavlenko R.,Ziuzikov P.,2,3,"['4', '11', '11', '7', '11']","['11', '4', '7', '11', '13']",22.11. 15:00,8E1wwnhe
Pavlenko R.,Ziuzikov P.,-,-,[],[],22.11. 15:00,8KxQ5S8F
Pavlenko R.,Ziuzikov P.,-,-,[],[],22.11. 15:00,bqni49Y3
Lyfenko N.,Volkov A.,-,-,[],[],22.11. 15:15,xzoe3TmA
Lyfenko N.,Volkov A.,-,-,[],[],22.11. 15:15,GptY36wS
Lyfenko N.,Volkov A.,2,3,"['12', '11', '10', '7', '4']","['10', '9', '12', '11', '11']",22.11. 15:15,jwirx671
Suntsov A.,Uezdin A.,-,-,[],[],22.11. 15:15,69ka2m3G
Suntsov A.,Uezdin A.,-,-,[],[],22.11. 15:15,Y1M4bp1k
Suntsov A.,Uezdin A.,1,3,"['11', '4', '7', '5']","['8', '11', '11', '11']",22.11. 15:15,4tenyQM7
Pentuk E.,Miklukha A.,3,2,"['13', '11', '6', '11', '11']","['15', '5', '11', '9', '8']",21.11. 20:40,EBjSKkm9
Kurtenko A.,Kurtenko V.,3,2,"['5', '7', '11', '14', '11']","['11', '11', '8', '12', '9']",21.11. 21:15,tbhKMBId
Vasileva M.,Miklukha A.,-,-,[],[],21.11. 21:55Canc,KliOLVX2
Pentuk E.,Kurtenko A.,1,3,"['3', '11', '8', '5']","['11', '6', '11', '11']",21.11. 22:30,SEfWJ92F
Kurtenko A.,Miklukha A.,0,3,"['6', '10', '11']","['11', '12', '13']",21.11. 23:35,AwpyJTHL
Vasileva M.,Kurtenko A.,-,-,[],[],22.11. 00:10,lUruImXR
Pentuk E.,Kurtenko V.,2,3,"['11', '11', '11', '4', '12']","['8', '9', '13', '11', '14']",22.11. 00:45,KCV6D7uq
Vasileva M.,Pentuk E.,-,-,[],[],22.11. 01:20,b3UACRfk
Kurtenko V.,Miklukha A.,3,0,"['11', '11', '11']","['8', '3', '7']",22.11. 01:55,tSJFBoAe
Vakhrusheva E.,Tsiupko O.,1,3,"['4', '7', '11', '9']","['11', '11', '6', '11']",21.11. 20:05,IqqUa9a8
Mikhailik Y.,Yureneva S.,2,3,"['11', '12', '4', '8', '5']","['6', '10', '11', '11', '11']",21.11. 20:30,dzrYbTEE
Andreeva L.,Saltanovskaya M.,0,3,"['10', '6', '10']","['12', '11', '12']",21.11. 20:50,xAsIlqi7
Mydvetska A.,Tsiupko O.,0,3,"['9', '10', '9']","['11', '12', '11']",21.11. 21:00,G0tMm36D
Kurpa O.,Ivashchenko H.,0,3,"['5', '4', '6']","['11', '11', '11']",21.11. 21:20,I5K4CnqE
Vakhrusheva E.,Mikhailik Y.,0,3,"['6', '8', '8']","['11', '11', '11']",21.11. 21:30,Gjw8B6bK
Somova K.,Saltanovskaya M.,0,3,"['5', '12', '6']","['11', '14', '11']",21.11. 21:50,ADxCAQDQ
Mydvetska A.,Yureneva S.,3,1,"['11', '11', '8', '13']","['7', '8', '11', '11']",21.11. 22:00,CMOw6pMs
Andreeva L.,Kurpa O.,3,1,"['11', '9', '11', '11']","['5', '11', '7', '9']",21.11. 22:20,UcJr54yl
Mikhailik Y.,Tsiupko O.,2,3,"['14', '10', '11', '7', '3']","['12', '12', '6', '11', '11']",21.11. 22:30,8lIn4Ojf
Somova K.,Ivashchenko H.,0,3,"['8', '5', '4']","['11', '11', '11']",21.11. 22:50,2BHj3r60
Vakhrusheva E.,Yureneva S.,1,3,"['1', '11', '8', '11']","['11', '9', '11', '13']",21.11. 23:00,GELf22L6
Kurpa O.,Saltanovskaya M.,1,3,"['6', '11', '11', '7']","['11', '8', '13', '11']",21.11. 23:20,bwBa1MzD
Mydvetska A.,Mikhailik Y.,3,1,"['12', '12', '7', '11']","['10', '10', '11', '8']",21.11. 23:30,xU930tjJ
Andreeva L.,Ivashchenko H.,3,0,"['14', '11', '11']","['12', '4', '5']",21.11. 23:50,29MA8wrt
Yureneva S.,Tsiupko O.,2,3,"['9', '11', '11', '9', '7']","['11', '5', '5', '11', '11']",22.11. 00:00,t0LE7ccn
Somova K.,Kurpa O.,2,3,"['12', '8', '11', '7', '6']","['10', '11', '7', '11', '11']",22.11. 00:20,OOAJ6HCh
Mydvetska A.,Vakhrusheva E.,3,2,"['10', '11', '11', '7', '11']","['12', '3', '8', '11', '2']",22.11. 00:30,xSEN5ySb
Ivashchenko H.,Saltanovskaya M.,3,1,"['11', '8', '11', '11']","['7', '11', '5', '6']",22.11. 00:50,WlER4es5
Somova K.,Andreeva L.,1,3,"['5', '6', '11', '8']","['11', '11', '9', '11']",22.11. 01:20,AuDV3FdB
Voloshyna Y.,Ogarenko S.,0,3,"['9', '7', '9']","['11', '11', '11']",22.11. 03:45,xnaVcmUK
Svydnytska N.,Bohdanova A.,2,3,"['11', '8', '6', '11', '7']","['7', '11', '11', '6', '11']",22.11. 03:45,GxbZd7qR
Pachich Y.,Kostiuk O.,3,1,"['11', '7', '11', '11']","['7', '11', '6', '6']",22.11. 04:10,YHp1hRir
Osipenko M.,Dubrova A.,2,3,"['6', '9', '11', '11', '3']","['11', '11', '7', '7', '11']",22.11. 04:15,nLl5io7l
