,lPlayer,rPlayer,id,mergeCol
3403,Menshikov A.,Novikov I.,t0wpkdnL,Menshikov A.t0wpkdnL
3404,Menshikov A.,Sukharnikov N.,UVCX3enE,Menshikov A.UVCX3enE
3405,Kuzmin S.,Menshikov A.,K0VtsYv1,Kuzmin S.K0VtsYv1
3406,Sukharnikov N.,Menshikov A.,MZfETESS,Sukharnikov N.MZfETESS
3407,Sukharnikov N.,Menshikov A.,jTagAHjc,Sukharnikov N.jTagAHjc
3408,Menshikov A.,Kuzmin S.,A9vkSATu,Menshikov A.A9vkSATu
3409,Novikov I.,Menshikov A.,tYlzB9b5,Novikov I.tYlzB9b5
3410,Menshikov A.,Kuzmin S.,CdVscPwT,Menshikov A.CdVscPwT
3411,Menshikov A.,Novikov I.,W6VVAzS9,Menshikov A.W6VVAzS9
3412,Menshikov A.,Molodtsov D.,hGAddyDG,Menshikov A.hGAddyDG
3413,Kuzmin S.,Menshikov A.,tbvdh7fo,Kuzmin S.tbvdh7fo
3414,Kuzmin S.,Menshikov A.,z32zSDpB,Kuzmin S.z32zSDpB
3415,Menshikov A.,Zhulyabin V.,dItP785G,Menshikov A.dItP785G
3416,Menshikov A.,Kuzmin S.,vPzp7yF5,Menshikov A.vPzp7yF5
3417,Molodtsov D.,Menshikov A.,UZvmeyLH,Molodtsov D.UZvmeyLH
3418,Yusipov T.,Menshikov A.,AyeeCaLS,Yusipov T.AyeeCaLS
3419,Menshikov A.,Novikov I.,WSAvOSCi,Menshikov A.WSAvOSCi
3420,Yusipov T.,Menshikov A.,EidYXrPI,Yusipov T.EidYXrPI
3421,Menshikov A.,Kuzmin S.,Q73ZtS0t,Menshikov A.Q73ZtS0t
3422,Yusipov T.,Menshikov A.,jPJ28X4M,Yusipov T.jPJ28X4M
3423,Zhulyabin V.,Menshikov A.,GzmF20TG,Zhulyabin V.GzmF20TG
3424,Novikov I.,Menshikov A.,bocomLTT,Novikov I.bocomLTT
3425,Menshikov A.,Yusipov T.,xW8xksaH,Menshikov A.xW8xksaH
3426,Zhulyabin V.,Menshikov A.,QaXl7BY6,Zhulyabin V.QaXl7BY6
